brand,category,design,size,color,sets,price
BABIES,GOWN,G701,22x32,FIROZI,6,0
BABIES,GOWN,G709,22x32,PEACH,6,0
BABIES,GOWN,G709,22x32,GREY,6,0
BABIES,GOWN,G710,22x32,DARK_OPINK,6,0
BABIES,GOWN,G710,22x32,BLUE,6,0
BABIES,GOWN,G711,22x32,GREEN,6,0
BABIES,GOWN,G711,22x32,O_PINK,6,0
BABIES,SKIRT_TOP,S101,12x16,PINK,3,0
BABIES,SKIRT_TOP,S101,12x16,PEACH,3,0
BABIES,SKIRT_TOP,S101,12x16,GREEN,3,0
BABIES,SKIRT_TOP,S101,12x16,CREAM,3,0
BABIES,SKIRT_TOP,S101,18x22,PINK,3,0
BABIES,SKIRT_TOP,S101,18x22,PEACH,3,0
BABIES,SKIRT_TOP,S101,18x22,GREEN,3,0
BABIES,SKIRT_TOP,S101,18x22,CREAM,3,0
BABIES,SKIRT_TOP,S102,12x16,PINK,3,0
BABIES,SKIRT_TOP,S102,12x16,FIROZI,3,0
BABIES,SKIRT_TOP,S102,18x22,PINK,3,0
BABIES,SKIRT_TOP,S102,18x22,FIROZI,3,0
BABIES,SKIRT_TOP,S103,12x16,GREEN,3,0
BABIES,SKIRT_TOP,S103,12x16,BLUE,3,0
BABIES,SKIRT_TOP,S103,18x22,GREEN,3,0
BABIES,SKIRT_TOP,S103,18x22,BLUE,3,0
BABIES,SKIRT_TOP,S104,12x16,MULTI,3,0
BABIES,SKIRT_TOP,S104,18x22,MULTI,3,0
BABIES,SKIRT_TOP,S105,12x16,WHITE,3,0
BABIES,SKIRT_TOP,S105,12x16,PINK,3,0
BABIES,SKIRT_TOP,S105,12x16,PEACH,3,0
BABIES,SKIRT_TOP,S105,18x22,WHITE,3,0
BABIES,SKIRT_TOP,S105,18x22,PINK,3,0
BABIES,SKIRT_TOP,S105,18x22,PEACH,3,0
BABIES,SKIRT_TOP,S106,12x16,PINK,3,0
BABIES,SKIRT_TOP,S106,12x16,BLUE,3,0
BABIES,SKIRT_TOP,S106,18x22,PINK,3,0
BABIES,SKIRT_TOP,S106,18x22,BLUE,3,0
BABIES,SKIRT_TOP,S107,12x16,BLUE,3,0
BABIES,SKIRT_TOP,S107,12x16,PEACH,3,0
BABIES,SKIRT_TOP,S107,18x22,BLUE,3,0
BABIES,SKIRT_TOP,S107,18x22,PEACH,3,0
BABIES,SKIRT_TOP,S108,12x16,GOLD,3,0
BABIES,SKIRT_TOP,S108,12x16,PINK,3,0
BABIES,SKIRT_TOP,S108,18x22,GOLD,3,0
BABIES,SKIRT_TOP,S108,18x22,PINK,3,0
BABIES,SKIRT_TOP,G109,12x16,PINK,3,0
BABIES,SKIRT_TOP,G109,12x16,CREAM,3,0
BABIES,SKIRT_TOP,G109,18x22,PINK,3,0
BABIES,SKIRT_TOP,G109,18x22,CREAM,3,0
BABIES,FROCK,2719,16x22,NEW_PINK,4,0
BABIES,FROCK,2719,16x22,BLUE,4,0
BABIES,FROCK,2719,24x28,NEW_PINK,3,0
BABIES,FROCK,2719,24x28,BLUE,3,0
BABIES,FROCK,2739,12x14,WHITE,2,0
BABIES,FROCK,2739,12x14,PINK,2,0
BABIES,FROCK,2740,12x14,LEMON,2,0
BABIES,FROCK,2740,12x14,PEACH,2,0
BABIES,FROCK,2741,12x14,PINK,2,0
BABIES,FROCK,2741,12x14,PEACH,2,0
BABIES,FROCK,2741,12x14,FIROZI,2,0
BABIES,FROCK,2746,12x14,PEACH,2,0
BABIES,FROCK,2746,12x14,FIROZI,2,0
BABIES,FROCK,2751,12x14,CREAM,2,0
BABIES,FROCK,2751,12x14,PEACH,2,0
BABIES,FROCK,2752,12x14,CREAM,2,0
BABIES,FROCK,2752,12x14,PINK,2,0
BABIES,FROCK,2752,12x14,GREEN,2,0
BABIES,FROCK,2753,12x14,CREAM,2,0
BABIES,FROCK,2753,12x14,FIROZI,2,0
BABIES,FROCK,2753,12x14,GREEN,2,0
BABIES,FROCK,2753,12x14,LEMON,2,0
BABIES,FROCK,2753,12x14,PINK,2,0
BABIES,FROCK,2753,12x14,RED,2,0
BABIES,FROCK,2753,12x14,BLACK,2,0
BABIES,FROCK,2753,16x22,CREAM,4,0
BABIES,FROCK,2753,16x22,FIROZI,4,0
BABIES,FROCK,2753,16x22,GREEN,4,0
BABIES,FROCK,2753,16x22,LEMON,4,0
BABIES,FROCK,2753,16x22,PINK,4,0
BABIES,FROCK,2753,16x22,RED,4,0
BABIES,FROCK,2753,16x22,BLACK,4,0
BABIES,FROCK,2753,24x28,CREAM,3,0
BABIES,FROCK,2753,24x28,FIROZI,3,0
BABIES,FROCK,2753,24x28,GREEN,3,0
BABIES,FROCK,2753,24x28,LEMON,3,0
BABIES,FROCK,2753,24x28,PINK,3,0
BABIES,FROCK,2753,24x28,RED,3,0
BABIES,FROCK,2753,24x28,BLACK,3,0
BABIES,FROCK,2754,12x14,WHITE,2,0
BABIES,FROCK,2754,12x14,LEMON,2,0
BABIES,FROCK,2754,12x14,PEACH,2,0
BABIES,FROCK,2754,12x14,FIROZI,2,0
BABIES,FROCK,2754,12x14,GREEN,2,0
BABIES,FROCK,2755,12x14,MULTI,2,0
BABIES,FROCK,2756,12x14,GAJRI,2,0
BABIES,FROCK,2756,12x14,PEACH,2,0
BABIES,FROCK,2756,12x14,GOLD,2,0
BABIES,FROCK,2757,12x14,JAMBLI,2,0
BABIES,FROCK,2757,12x14,RED,2,0
BABIES,FROCK,2757,12x14,BOTTLE_GREEN,2,0
BABIES,FROCK,2757,12x14,SEA_GREEN,2,0
BABIES,FROCK,2757,12x14,PINK,2,0
BABIES,FROCK,2758,16x22,PEACH,4,0
BABIES,FROCK,2758,16x22,BLUE,4,0
BABIES,FROCK,2758,24x28,PEACH,3,0
BABIES,FROCK,2758,24x28,BLUE,3,0
BABIES,FROCK,2759,16x22,PURPLE,4,0
BABIES,FROCK,2759,16x22,SKY_BLUE,4,0
BABIES,FROCK,2759,16x22,PEACH,4,0
BABIES,FROCK,2759,16x22,ONION_PINK,4,0
BABIES,FROCK,2759,24x28,PURPLE,3,0
BABIES,FROCK,2759,24x28,SKY_BLUE,3,0
BABIES,FROCK,2759,24x28,PEACH,3,0
BABIES,FROCK,2759,24x28,ONION_PINK,3,0
BABIES,FROCK,2760,16x22,TOMATO,4,0
BABIES,FROCK,2760,16x22,GREY,4,0
BABIES,FROCK,2760,24x28,TOMATO,3,0
BABIES,FROCK,2760,24x28,GREY,3,0
BABIES,FROCK,2761,16x22,GREEN,4,0
